"","Algorithm","Precision","Recall","F1","Rand","adjRand","BCubed.Precision","BCubed.Recall","BCubed.FScore"
"1","MeanVar BinSeg",0.2,0.2,0.2,0.819774011299435,0.541857819566808,0.656344086022,0.855897435897,0.742954365622
"2","MeanVar SegNeigh",0.2,0.2,0.2,0.785875706214689,0.477814328794123,0.619393939394,0.842564102564,0.713945385163
"3","MeanVar PELT",0.166666666666667,0.2,0.181818181818182,0.811864406779661,0.515766487403077,0.656344086022,0.809230769231,0.724812967018
"4","Var BinSeg",0.333333333333333,0.2,0.25,0.733333333333333,0.418172701251489,0.457575757576,0.919230769231,0.611004825193
"5","Var SegNeigh",0,0,NA,0.782485875706215,0.477512608856332,0.588624708625,0.862564102564,0.699738779168
"6","Var PELT",0,0,NA,0.782485875706215,0.477512608856332,0.588624708625,0.862564102564,0.699738779168
"7","Mean BinSeg",0.5,0.6,0.545454545454545,0.798305084745763,0.510612723496073,0.672727272727,0.889230769231,0.765974212034
"8","Mean SegNeigh",0.4,0.4,0.4,0.784745762711864,0.492259320663345,0.633660130719,0.910064102564,0.747117037824
"9","Mean PELT",0.0833333333333333,1,0.153846153846154,0.807344632768362,0,1,0.1,0.181818181818
