"","Metric","Algorithm","Score1","Score2","Score3","Score4","Score5","Score6","Score7","Score8","Score9","Score10","mean","sd"
"41","Precision","MeanVar SegNeigh",0,0.25,0,0,0,0,0.2,0,0.2,0.2,0.085,0.110679718105893
"42","Recall","MeanVar SegNeigh",0,0.5,0,0,0,0,0.333333333,0,0.333333333,0.2,0.1366666666,0.190159127569582
"43","F1","MeanVar SegNeigh",0,0.333333333,0,0,0,0,0.25,0,0.25,0.2,0.1033333333,0.137167105377994
"44","Rand","MeanVar SegNeigh",0.363828662,0.924907456,0.698421975,0.774576271,0.837123215,0.551412429,0.845119813,0.86938128,0.947117927,0.785875706,0.7597764734,0.180277287072457
"45","AdjRand","MeanVar SegNeigh",-0.033083215,0.844343916,0.334534305,0.57039828,0.627783501,0.241900508,0.653321966,0.711729799,0.869205369,0.477814329,0.5297948758,0.281719684723757
"46","Bcubed Precision","MeanVar SegNeigh",0.380760369,0.890083632,0.655034895,0.977777778,0.859582543,0.96969697,0.753417168,0.891935484,0.925806452,0.619393939,0.792348923,0.190708155838167
"47","Bcubed Recall","MeanVar SegNeigh",0.838017984,0.888137357,0.703714426,0.662121212,0.703106332,0.432638889,0.867642527,0.801699309,0.84192055,0.842564103,0.7581562689,0.13843412299466
"48","Bcubed F-Score","MeanVar SegNeigh",0.523612904,0.889109429,0.678502647,0.789569859,0.773510247,0.598328306,0.806505494,0.844413523,0.881873135,0.713945385,0.7499370929,0.12093819990947
"49","Precision","Var BinSeg",0,0.333333333,0,0,0.333333333,0,0.333333333,0,0.333333333,0.333333333,0.1666666665,0.175682092055895
"50","Recall","Var BinSeg",0,0.5,0,0,0.5,0,0.333333333,0,0.333333333,0.2,0.1866666666,0.214418536092957
"51","F1","Var BinSeg",0,0.4,0,0,0.4,0,0.333333333,0,0.333333333,0.25,0.1716666666,0.185600460237164
"52","Rand","Var BinSeg",0.332099418,0.904812269,0.790765634,0.942937853,0.935483871,0.710169492,0.849795441,0.740349022,0.923849815,0.733333333,0.7863596148,0.182823203722534
"53","AdjRand","Var BinSeg",0.002293403,0.805123425,0.562324673,0.883671294,0.85755302,0.458374641,0.667534638,0.459125414,0.822681578,0.418172701,0.5936854787,0.273712141099698
"54","Bcubed Precision","Var BinSeg",0.341618191,0.846496107,0.667180277,0.983333333,0.923963134,0.969047619,0.740705303,0.698231009,0.833870968,0.457575758,0.7462021699,0.213646708387924
"55","Bcubed Recall","Var BinSeg",0.969439728,0.920395421,0.884443977,0.904356061,0.884259259,0.629861111,0.935439137,0.745535714,0.938694743,0.919230769,0.873165592,0.104617293867131
"56","Bcubed F-Score","Var BinSeg",0.505207652,0.881900364,0.760601126,0.942192569,0.903675299,0.763477488,0.826760168,0.721108398,0.883183387,0.611004825,0.7799111276,0.138646902870427
"57","Precision","Var PELT",0,0.333333333,0,0,0.333333333,0,0.333333333,0,0.333333333,0,0.1333333332,0.172132592992641
"58","Recall","Var PELT",0,0.5,0,0,0.5,0,0.333333333,0,0.333333333,0,0.1666666666,0.222222222166667
"59","F1","Var PELT",0,0.4,0,0,0.4,0,0.333333333,0,0.333333333,0,0.1466666666,0.190645427389936
"60","Rand","Var PELT",0.332099418,0.904812269,0.77849211,0.942937853,0.935483871,0.915254237,0.849795441,0.740349022,0.923849815,0.782485876,0.8105559912,0.18349049651521
"61","AdjRand","Var PELT",0.002293403,0.805123425,0.543596211,0.883671294,0.85755302,0.818859861,0.667534638,0.459125414,0.822681578,0.477512609,0.6337951453,0.273818367797349
"62","Bcubed Precision","Var PELT",0.341618191,0.846496107,0.655034895,0.983333333,0.923963134,0.977777778,0.740705303,0.698231009,0.833870968,0.588624709,0.7589655427,0.19909094467592
"63","Bcubed Recall","Var PELT",0.969439728,0.920395421,0.905630417,0.904356061,0.884259259,0.874305556,0.935439137,0.745535714,0.938694743,0.862564103,0.8940620139,0.0613349475120889
"64","Bcubed F-Score","Var PELT",0.505207652,0.881900364,0.760213636,0.942192569,0.903675299,0.923151273,0.826760168,0.721108398,0.883183387,0.699738779,0.8047131525,0.135407338086047
"65","Precision","Var SegNeigh",0,0.333333333,0,0,0.333333333,0,0.333333333,0,0.333333333,0,0.1333333332,0.172132592992641
"66","Recall","Var SegNeigh",0,0.5,0,0,0.5,0,0.333333333,0,0.333333333,0,0.1666666666,0.222222222166667
"67","F1","Var SegNeigh",0,0.4,0,0,0.4,0,0.333333333,0,0.333333333,0,0.1466666666,0.190645427389936
"68","Rand","Var SegNeigh",0.332099418,0.904812269,0.77849211,0.942937853,0.935483871,0.915254237,0.849795441,0.740349022,0.923849815,0.782485876,0.8105559912,0.18349049651521
"69","AdjRand","Var SegNeigh",0.002293403,0.805123425,0.543596211,0.883671294,0.85755302,0.818859861,0.667534638,0.459125414,0.822681578,0.477512609,0.6337951453,0.273818367797349
"70","Bcubed Precision","Var SegNeigh",0.341618191,0.846496107,0.655034895,0.983333333,0.923963134,0.977777778,0.740705303,0.698231009,0.833870968,0.588624709,0.7589655427,0.19909094467592
"71","Bcubed Recall","Var SegNeigh",0.969439728,0.920395421,0.905630417,0.904356061,0.884259259,0.874305556,0.935439137,0.745535714,0.938694743,0.862564103,0.8940620139,0.0613349475120889
"72","Bcubed F-Score","Var SegNeigh",0.505207652,0.881900364,0.760213636,0.942192569,0.903675299,0.923151273,0.826760168,0.721108398,0.883183387,0.699738779,0.8047131525,0.135407338086047
