"","Algorithm","Precision","Recall","F1","Rand","adjRand","BCubed.Precision","BCubed.Recall","BCubed.FScore"
"1","MeanVar BinSeg",0,0,NA,0.799048122686409,0.561286115839319,0.803870967742,0.753312211982,0.777770816873
"2","MeanVar SegNeigh",0,0,NA,0.869381279746166,0.711729798953881,0.891935483871,0.801699308756,0.8444135229
"3","MeanVar PELT",0,0,NA,0.869381279746166,0.711729798953881,0.891935483871,0.801699308756,0.8444135229
"4","Var BinSeg",0,0,NA,0.74034902168165,0.45912541381976,0.698231009365,0.745535714286,0.721108397605
"5","Var SegNeigh",0,0,NA,0.74034902168165,0.45912541381976,0.698231009365,0.745535714286,0.721108397605
"6","Var PELT",0,0,NA,0.74034902168165,0.45912541381976,0.698231009365,0.745535714286,0.721108397605
"7","Mean BinSeg",0,0,NA,0.868852459016393,0.699871620765437,0.943548387097,0.678715437788,0.789515055195
"8","Mean SegNeigh",0,0,NA,0.925965097831835,0.835786141129387,0.954301075269,0.785570276498,0.861754012789
"9","Mean PELT",0.032258064516129,1,0.0625,0.626123744050767,0,1,0.0483870967742,0.0923076923077
