"","Algorithm","Precision","Recall","F1","Rand","adjRand","BCubed.Precision","BCubed.Recall","BCubed.FScore"
"1","MeanVar BinSeg",0,0,NA,0.363828662083554,-0.033083214843805,0.380760368664,0.838017984028,0.523612904415
"2","MeanVar SegNeigh",0,0,NA,0.363828662083554,-0.033083214843805,0.380760368664,0.838017984028,0.523612904415
"3","MeanVar PELT",0,0,NA,0.363828662083554,-0.033083214843805,0.380760368664,0.838017984028,0.523612904415
"4","Var BinSeg",0,0,NA,0.332099418297197,0.00229340264505779,0.341618191433,0.969439728353,0.505207652088
"5","Var SegNeigh",0,0,NA,0.332099418297197,0.00229340264505779,0.341618191433,0.969439728353,0.505207652088
"6","Var PELT",0,0,NA,0.332099418297197,0.00229340264505779,0.341618191433,0.969439728353,0.505207652088
"7","Mean BinSeg",0,0,NA,0.584346906398731,0.1002694967457,0.594594594595,0.584795321637,0.589654248191
"8","Mean SegNeigh",0.4,0.666666666666667,0.5,0.85193019566367,0.685228296875111,0.75650364204,0.916871030623,0.829002954662
"9","Mean PELT",0.0483870967741935,1,0.0923076923076923,0.681121099947118,0,1,0.0645161290323,0.121212121212
