"","Algorithm","Precision","Recall","F1","Rand","adjRand","BCubed.Precision","BCubed.Recall","BCubed.FScore"
"1","MeanVar BinSeg",0,0,NA,0.779481755684823,0.488322973870014,0.709677419355,0.77979390681,0.743085305091
"2","MeanVar SegNeigh",0.2,0.333333333333333,0.25,0.947117927022739,0.869205369012393,0.925806451613,0.841920549582,0.881873135412
"3","MeanVar PELT",0.2,0.333333333333333,0.25,0.947117927022739,0.869205369012393,0.925806451613,0.841920549582,0.881873135412
"4","Var BinSeg",0.333333333333333,0.333333333333333,0.333333333333333,0.923849814912745,0.822681577778675,0.833870967742,0.93869474313,0.883183386734
"5","Var SegNeigh",0.333333333333333,0.333333333333333,0.333333333333333,0.923849814912745,0.822681577778675,0.833870967742,0.93869474313,0.883183386734
"6","Var PELT",0.333333333333333,0.333333333333333,0.333333333333333,0.923849814912745,0.822681577778675,0.833870967742,0.93869474313,0.883183386734
"7","Mean BinSeg",0.166666666666667,0.333333333333333,0.222222222222222,0.93918561607615,0.845868213477468,0.95564516129,0.798611111111,0.870099604137
"8","Mean SegNeigh",0.4,0.666666666666667,0.5,0.931782125859334,0.838129718388085,0.862007168459,0.909124850657,0.884939270288
"9","Mean PELT",0.05,1,0.0952380952380952,0.70597567424643,0.00504576390518658,1,0.0683990442055,0.128040257199
