20-03-2017,383
21-03-2017,373
22-03-2017,329
23-03-2017,336
24-03-2017,238
25-03-2017,194
26-03-2017,125
27-03-2017,321
28-03-2017,361
29-03-2017,391
30-03-2017,553
31-03-2017,446
01-04-2017,198
02-04-2017,127
03-04-2017,366
04-04-2017,455
05-04-2017,1570
06-04-2017,630
07-04-2017,579
08-04-2017,403
09-04-2017,837
10-04-2017,864
11-04-2017,790
12-04-2017,1030
13-04-2017,465
14-04-2017,333
15-04-2017,73
16-04-2017,73
17-04-2017,133
18-04-2017,469
19-04-2017,513
20-04-2017,784
21-04-2017,485
22-04-2017,332
23-04-2017,280
24-04-2017,1625
25-04-2017,442
26-04-2017,255
27-04-2017,119
28-04-2017,177
29-04-2017,103
30-04-2017,153
01-05-2017,785
02-05-2017,442
03-05-2017,363
04-05-2017,296
05-05-2017,299
06-05-2017,144
07-05-2017,117
08-05-2017,252
09-05-2017,327
10-05-2017,318
11-05-2017,419
12-05-2017,353
13-05-2017,105
14-05-2017,69
15-05-2017,330
16-05-2017,268
17-05-2017,217
18-05-2017,538
19-05-2017,513
20-05-2017,176
