20-03-2017,458
21-03-2017,517
22-03-2017,486
23-03-2017,625
24-03-2017,481
25-03-2017,367
26-03-2017,1152
27-03-2017,779
28-03-2017,730
29-03-2017,921
30-03-2017,705
31-03-2017,475
01-04-2017,624
02-04-2017,609
03-04-2017,1295
04-04-2017,577
05-04-2017,1273
06-04-2017,858
07-04-2017,380
08-04-2017,254
09-04-2017,891
10-04-2017,663
11-04-2017,1111
12-04-2017,875
13-04-2017,983
14-04-2017,450
15-04-2017,1001
16-04-2017,1906
17-04-2017,837
18-04-2017,782
19-04-2017,1979
20-04-2017,795
21-04-2017,676
22-04-2017,785
23-04-2017,578
24-04-2017,673
25-04-2017,1081
26-04-2017,659
27-04-2017,783
28-04-2017,1089
29-04-2017,885
30-04-2017,1168
01-05-2017,1071
02-05-2017,1552
03-05-2017,1215
04-05-2017,1023
05-05-2017,1077
06-05-2017,792
07-05-2017,696
08-05-2017,852
09-05-2017,976
10-05-2017,714
11-05-2017,1317
12-05-2017,547
13-05-2017,865
14-05-2017,1238
15-05-2017,1085
16-05-2017,945
17-05-2017,1046
18-05-2017,723
19-05-2017,502
20-05-2017,310
