"id","postingdate","username","permalink","header","posting_type","recipients","impact","likesfavorites","sharesretweets","reach"
"6853010231","2017-02-26T21:36:19.000000","wouterbrandsma","http://twitter.com/wouterbrandsma/statuses/835951652783947777","@BrandsmaH Je bedoelt die helium ingenomen had?","1","[u'BrandsmaH']","1000","0","0","1"
"6853013700","2017-02-26T21:37:06.000000","Kos_","http://twitter.com/Kos_/statuses/835951846661435392","Lodewijk Asscher vanavond. #rtldebat https://t.co/Ujd18uUM1Q","0","[]","60","2","0","2786"
"6853013753","2017-02-26T21:37:32.000000","christiaanmooij","http://twitter.com/christiaanmooij/statuses/835951956577423361","uh zegt @sybrandbuma nu retorisch :  ""je zou hier een politiek debat over kunnen voeren""   JA DAARVOOR BEN JE NU bij @DeRodeHoed #rtldebat","0","[]","60","0","0","614"
"6853013771","2017-02-26T21:37:05.000000","Didder_87","http://twitter.com/Didder_87/statuses/835951844182667264","@hapchard1972 @greet_dm Op cafterras Oude Markt Leuven plat in mijn bierglaswas gelukkig bijna leeg","1","[u'hapchard1972']","12","2","0","1"
"6853013784","2017-02-26T21:37:41.000000","LADESTEINR","http://twitter.com/LADESTEINR/statuses/835951994019987457","RT @umarebru: WE MISSEN JE @arjenlubach @zondagmetlubach en ik ga @jesseklaver niet meer bijvoeden. Ik doe het niet! https://twitter.com/LADESTEINR/status/835950577422983169","0","[]","60","0","1","704"
"6853013803","2017-02-26T21:37:31.000000","MJvdZijden","http://twitter.com/MJvdZijden/statuses/835951951045083137","Als mijn buren hulp krijgen bij zelf doding, heb ik een veel grotere achtertuin!","0","[]","1","0","0","51"
"6853013847","2017-02-26T21:37:39.000000","tpreintjes","http://twitter.com/tpreintjes/statuses/835951986948341764","@RemyAMS @umarebru Kijk dan ook niet verder. En pas op met je tenen. Het eigen risico wordt echt niet afgeschaft.","1","[u'RemyAMS']","12","0","0","1"
"6853014136","2017-02-26T21:37:33.000000","demaeyermarijn","http://twitter.com/demaeyermarijn/statuses/835951960830406656","Buma stop aub met bemoeien met de levenskeuzes van andere mensen. #rtldebat","0","[]","12","0","0","176"
"6748172263","2017-01-01T21:23:10.000000","camiels","http://twitter.com/camiels/statuses/815654620697608196","Op advies van @BureauWalkate zojuist het eerste deel van Riphagen gezien. Heftig. https://t.co/KQWNxtczON","0","[]","12","0","0","276"
"6748172199","2017-01-01T21:07:27.000000","R_G_86","http://twitter.com/R_G_86/statuses/815650667696164864","@michielveenstra Anders ik/wij wel.. Tot morgen!","1","[u'michielveenstra']","12","0","0","1"
"6748172241","2017-01-01T21:34:18.000000","Nijmdevilsrick","http://twitter.com/Nijmdevilsrick/statuses/815657423700684800","Mooie eerste dag van 2017. Met een gezellige groep vanmiddag om vier uur een duik genomen in de Spiegelwaal.  #fb","0","[]","12","0","0","148"
"6748172366","2017-01-01T22:05:48.000000","MorganVanBaelen","http://twitter.com/MorganVanBaelen/statuses/815665350541017088","@femke_t01 kzal het op school vertellen hahaha","1","[u'femke_t01']","1","1","0","1"
"6748172388","2017-01-01T21:58:15.000000","P2000GldMid","http://twitter.com/P2000GldMid/statuses/815663448570859520","a1 da costastraat barneveld 3771ZA 253 | Ambulance met spoed naar Da Costastraat in Barneveld | http://ift.tt/2hHrYkd","0","[]","1","0","0","82"
