"","Algorithm","Precision","Recall","F1","Rand","adjRand","BCubed.Precision","BCubed.Recall","BCubed.FScore"
"1","MeanVar BinSeg",0.962264150943396,0.894736842105263,0.927272727272727,0.915838690824079,0.821365597884089,0.954802259887,0.732052058111,0.82872000502
"2","MeanVar SegNeigh",0.981481481481482,0.929824561403509,0.954954954954955,0.962010520163647,0.920614299633462,0.983050847458,0.867161016949,0.921476495739
"3","MeanVar PELT",0.96969696969697,0.56140350877193,0.711111111111111,0.609000584453536,0.0629508078624248,0.424817785908,0.463771186441,0.443440678925
"4","Var BinSeg",0.982142857142857,0.964912280701754,0.973451327433628,0.966686148451198,0.930678769053618,0.970338983051,0.934957627119,0.952319789215
"5","Var SegNeigh",0.981481481481482,0.929824561403509,0.954954954954955,0.962010520163647,0.920614299633462,0.983050847458,0.867161016949,0.921476495739
"6","Var PELT",0.981481481481482,0.929824561403509,0.954954954954955,0.962010520163647,0.920614299633462,0.983050847458,0.867161016949,0.921476495739
"7","Mean BinSeg",0.981132075471698,0.912280701754386,0.945454545454545,0.951490356516657,0.898242260133462,0.983050847458,0.836652542373,0.903962695683
"8","Mean SegNeigh",0.981481481481482,0.929824561403509,0.954954954954955,0.962010520163647,0.920614299633462,0.983050847458,0.867161016949,0.921476495739
"9","Mean PELT",1,0.0175438596491228,0.0344827586206897,0.587375803623612,0.00165953979176412,0.547513877313,0.5375,0.542460728308
