"","Dataset","Algorithm","Precision","Recall","F1","Rand","adjRand","BCubed.Precision","BCubed.Recall","BCubed.FScore"
"71","Tele2","Mean SegNeigh",0,0,0,0.925965098,0.835786141,0.954301075,0.785570276,0.861754013
"72","Tele2","Mean PELT",0.032258065,1,0.0625,0.626123744,0,1,0.048387097,0.092307692
"73","UWV","MeanVar BinSeg",0,0,0,0.779481756,0.488322974,0.709677419,0.779793907,0.743085305
"74","UWV","MeanVar SegNeigh",0.2,0.333333333,0.25,0.947117927,0.869205369,0.925806452,0.84192055,0.881873135
"75","UWV","MeanVar PELT",0.2,0.333333333,0.25,0.947117927,0.869205369,0.925806452,0.84192055,0.881873135
"76","UWV","Var BinSeg",0.333333333,0.333333333,0.333333333,0.923849815,0.822681578,0.833870968,0.938694743,0.883183387
"77","UWV","Var SegNeigh",0.333333333,0.333333333,0.333333333,0.923849815,0.822681578,0.833870968,0.938694743,0.883183387
"78","UWV","Var PELT",0.333333333,0.333333333,0.333333333,0.923849815,0.822681578,0.833870968,0.938694743,0.883183387
"79","UWV","Mean BinSeg",0.166666667,0.333333333,0.222222222,0.939185616,0.845868213,0.955645161,0.798611111,0.870099604
"80","UWV","Mean SegNeigh",0.4,0.666666667,0.5,0.931782126,0.838129718,0.862007168,0.909124851,0.88493927
"81","UWV","Mean PELT",0.05,1,0.095238095,0.705975674,0.005045764,1,0.068399044,0.128040257
"82","Ziggo","MeanVar BinSeg",0.2,0.2,0.2,0.819774011,0.54185782,0.656344086,0.855897436,0.742954366
"83","Ziggo","MeanVar SegNeigh",0.2,0.2,0.2,0.785875706,0.477814329,0.619393939,0.842564103,0.713945385
"84","Ziggo","MeanVar PELT",0.166666667,0.2,0.181818182,0.811864407,0.515766487,0.656344086,0.809230769,0.724812967
"85","Ziggo","Var BinSeg",0.333333333,0.2,0.25,0.733333333,0.418172701,0.457575758,0.919230769,0.611004825
"86","Ziggo","Var SegNeigh",0,0,0,0.782485876,0.477512609,0.588624709,0.862564103,0.699738779
"87","Ziggo","Var PELT",0,0,0,0.782485876,0.477512609,0.588624709,0.862564103,0.699738779
"88","Ziggo","Mean BinSeg",0.5,0.6,0.545454545,0.798305085,0.510612723,0.672727273,0.889230769,0.765974212
"89","Ziggo","Mean SegNeigh",0.4,0.4,0.4,0.784745763,0.492259321,0.633660131,0.910064103,0.747117038
"90","Ziggo","Mean PELT",0.083333333,1,0.153846154,0.807344633,0,1,0.1,0.181818182
